Year_Birth,Education,Divorced,YOLO,Widow,Single,Married,Absurd,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
3.11,3,0,0,0,1,0,0,0.44,0.0,0,0.0,2.93,2.13,2.21,1.58,3.32,1.67,1.22,1.0,1.48,1.79,1.54,7,0,0,0,0,0,0,3,11,1
2.96,3,0,0,0,1,0,0,0.35,2.5,1,5.0,1.92,0.04,0.03,0.02,0.04,0.02,0.08,0.67,0.19,0.18,0.77,5,0,0,0,0,0,0,3,11,0
3.5,3,0,0,0,0,1,0,0.54,0.0,0,2.5,1.31,1.43,1.23,0.37,2.14,0.4,0.58,0.33,1.48,0.36,3.85,4,0,0,0,0,0,0,3,11,0
4.42,3,0,0,0,0,1,0,0.2,2.5,0,5.0,1.31,0.04,0.1,0.06,0.19,0.06,0.07,0.67,0.37,0.0,1.54,6,0,0,0,0,0,0,3,11,0
4.27,5,0,0,0,0,1,0,0.44,2.5,0,5.0,4.75,0.58,1.08,0.34,0.89,0.51,0.21,1.67,0.93,0.54,2.31,5,0,0,0,0,0,0,3,11,0
3.59,4,0,0,0,0,1,0,0.47,0.0,1,2.5,0.81,1.74,1.06,0.28,0.0,0.8,0.19,0.67,1.11,0.71,3.85,6,0,0,0,0,0,0,3,11,0
3.79,3,1,0,0,0,0,0,0.42,0.0,1,0.0,1.72,0.79,1.63,0.48,0.97,0.93,0.37,1.33,1.3,0.54,2.69,6,0,0,0,0,0,0,3,11,0
4.47,5,0,0,0,0,1,0,0.25,2.5,0,2.5,1.62,0.25,0.25,0.16,0.06,0.02,0.32,0.67,0.74,0.0,1.54,8,0,0,0,0,0,0,3,11,0
3.93,5,0,0,0,0,1,0,0.23,2.5,0,2.5,0.96,0.05,0.0,0.07,0.06,0.06,0.03,0.33,0.56,0.0,0.77,9,0,0,0,0,0,0,3,11,1
2.77,5,0,0,0,0,1,0,0.04,2.5,1,5.0,3.43,0.09,0.0,0.02,0.02,0.02,0.18,0.33,0.19,0.0,0.0,20,1,0,0,0,0,0,3,11,0
4.37,3,0,0,0,0,1,0,0.0,2.5,0,2.5,0.56,0.02,0.13,0.02,0.0,0.04,0.01,0.33,0.19,0.0,0.77,7,0,0,0,0,0,0,3,11,0
4.03,1,0,0,0,0,1,0,0.06,0.0,0,0.0,2.98,0.02,0.4,0.03,0.21,0.02,0.22,0.33,0.37,0.0,1.15,8,0,0,0,0,0,0,3,11,0
3.2,3,1,0,0,0,0,0,0.47,0.0,0,2.5,4.14,0.65,1.53,1.39,4.34,2.13,0.41,0.33,0.56,0.71,3.08,2,0,0,0,0,0,0,3,11,0
2.86,4,1,0,0,0,0,0,0.45,2.5,1,2.5,2.68,0.78,0.05,0.15,0.06,0.1,0.19,1.0,1.11,0.18,1.92,6,0,0,0,0,0,0,3,11,0
4.56,3,0,0,0,0,1,0,0.13,0.0,0,0.0,1.92,0.01,0.35,0.05,0.12,0.02,0.07,0.33,0.19,0.0,1.15,8,0,0,0,0,0,0,3,11,0
2.57,5,0,0,0,1,0,0,0.62,0.0,0,0.0,1.16,3.37,0.55,0.33,1.14,1.29,0.62,0.33,1.3,1.07,4.62,3,0,0,1,1,0,0,3,11,1
4.22,3,0,0,0,0,1,0,0.31,2.5,1,0.0,2.58,0.18,0.13,0.06,0.04,0.25,0.06,1.0,0.56,0.0,1.15,8,0,0,0,0,0,0,3,11,0
2.57,3,0,0,0,0,1,0,0.28,0.0,0,0.0,1.01,0.28,0.13,0.11,2.9,0.23,0.39,0.67,0.74,0.18,2.31,7,0,0,0,0,0,0,3,11,0
2.72,4,0,0,0,0,1,0,0.58,0.0,1,2.5,4.6,3.39,2.01,1.44,0.0,0.3,2.43,0.67,2.04,0.71,3.46,5,0,0,0,1,0,0,3,11,0
4.47,2,0,0,0,1,0,0,0.25,2.5,0,0.0,4.34,0.01,0.43,0.06,0.58,0.46,0.54,0.67,0.37,0.18,1.15,6,0,0,0,0,0,0,3,11,0
4.32,3,0,0,0,0,1,0,0.28,0.0,0,0.0,2.07,0.29,0.05,0.21,1.33,0.72,0.66,0.33,0.74,0.36,1.92,8,0,0,0,0,0,0,3,11,0
4.17,3,0,0,0,0,1,0,0.02,2.5,0,2.5,2.12,0.0,0.03,5.0,0.02,0.02,0.01,5.0,0.0,5.0,0.0,1,0,0,0,0,0,0,3,11,0
2.72,5,0,0,0,0,1,0,0.44,0.0,1,0.0,3.18,2.9,0.0,0.25,0.0,0.0,0.26,1.0,0.37,0.54,3.46,8,0,1,0,0,0,0,3,11,0
2.96,5,0,0,0,0,1,0,0.49,0.0,1,5.0,0.0,1.29,0.0,0.3,0.41,0.61,0.07,1.0,1.11,0.36,3.46,4,0,0,0,0,0,0,3,11,0
2.82,3,0,0,0,0,1,0,0.31,0.0,1,2.5,3.48,0.9,0.08,0.08,0.75,0.11,1.37,2.33,1.3,0.18,1.92,8,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,1,0,0,0.14,0.0,0,2.5,4.49,0.02,0.1,0.07,0.29,0.23,0.18,0.67,0.37,0.18,1.15,7,0,0,0,0,0,0,3,11,0
4.03,3,0,0,0,0,1,0,0.4,2.5,1,2.5,0.2,0.58,0.1,0.09,0.06,0.11,0.57,1.33,0.93,0.18,1.54,7,0,0,0,0,0,0,3,11,0
4.51,3,0,0,0,1,0,0,0.0,2.5,0,2.5,0.96,0.02,0.03,0.01,0.06,5.0,5.0,0.0,5.0,0.0,0.0,1,0,0,0,0,0,0,3,11,0
4.66,3,0,0,0,0,1,0,0.29,2.5,0,2.5,1.31,0.12,0.05,0.12,0.39,0.4,0.14,0.67,0.37,0.18,1.54,3,0,0,0,0,0,0,3,11,0
3.5,5,0,0,0,0,1,0,0.63,0.0,0,2.5,4.85,2.29,2.51,2.32,0.41,1.25,0.0,0.33,1.11,1.61,3.85,2,0,0,1,0,0,0,3,11,0
4.66,4,1,0,0,0,0,0,0.08,0.0,0,5.0,1.72,0.03,0.1,0.03,0.04,0.04,0.06,0.67,0.56,0.0,1.15,5,0,0,0,0,0,0,3,11,0
3.4,4,0,0,0,0,1,0,0.29,0.0,0,2.5,2.83,0.38,0.43,0.13,0.66,0.42,1.23,0.33,0.37,0.89,1.15,3,0,0,0,0,0,0,3,11,0
3.74,3,0,0,0,0,1,0,0.3,0.0,1,0.0,1.57,0.37,0.0,0.01,0.04,0.0,0.04,0.67,0.37,0.18,1.54,5,0,1,0,0,0,0,3,11,0
2.86,5,1,0,0,0,0,0,0.35,0.0,2,0.0,0.4,0.32,0.3,0.28,0.64,0.42,0.59,2.0,0.74,0.18,2.31,6,0,0,0,0,0,0,3,11,1
2.57,4,0,0,0,0,1,0,0.51,0.0,0,2.5,0.2,1.61,0.85,1.37,2.3,1.29,0.3,0.33,0.56,0.89,3.46,7,0,0,0,0,0,0,3,11,0
2.82,4,0,0,0,1,0,0,0.37,2.5,1,2.5,2.78,0.13,0.0,0.06,0.04,0.02,0.04,0.33,0.37,0.0,1.15,7,0,0,0,0,0,0,3,11,0
3.74,5,0,0,0,0,1,0,0.51,0.0,1,2.5,1.87,2.35,0.43,0.44,0.0,0.15,0.48,1.67,0.93,1.07,4.62,2,0,0,0,0,0,0,3,11,0
4.03,2,0,0,0,0,1,0,0.18,2.5,0,2.5,3.84,0.02,0.08,0.04,0.29,0.13,0.5,1.0,0.56,0.18,0.77,7,0,0,0,0,0,0,3,11,0
3.88,3,0,0,1,0,0,0,0.32,0.0,1,5.0,5.0,0.18,0.0,0.02,0.04,0.0,0.06,0.67,0.19,0.18,1.15,5,0,0,0,0,0,0,3,11,0
2.43,5,1,0,0,0,0,0,0.37,0.0,0,2.5,2.68,1.46,0.2,0.6,3.09,0.93,0.58,0.67,1.3,1.79,1.92,6,1,0,0,0,0,0,3,11,1
4.22,3,0,0,0,0,1,0,0.6,0.0,1,2.5,0.15,1.41,1.91,1.55,1.58,3.38,1.41,0.67,1.48,1.07,1.92,4,0,0,0,0,0,0,3,11,0
4.47,4,0,0,0,0,1,0,0.15,2.5,0,2.5,4.44,0.04,0.03,0.08,0.06,0.0,0.1,0.67,0.37,0.0,1.15,8,0,0,0,0,0,0,3,11,0
3.11,3,0,0,0,0,1,0,0.16,0.0,1,0.0,0.2,0.03,0.0,0.02,0.06,0.02,0.04,0.33,0.0,0.0,1.15,5,0,0,0,0,0,0,3,11,0
3.2,5,0,0,0,1,0,0,0.0,0.0,0,2.5,4.04,0.27,0.28,0.14,0.06,0.04,0.54,0.33,0.19,0.54,1.54,2,0,0,0,0,0,0,3,11,0
3.98,4,0,0,0,0,1,0,0.06,2.5,0,2.5,0.96,0.01,0.03,0.03,0.06,0.04,0.17,1.0,0.37,0.0,1.15,5,0,0,0,0,0,0,3,11,0
4.03,3,0,0,0,1,0,0,0.6,0.0,0,5.0,3.64,0.41,4.12,0.77,4.38,0.57,2.4,0.33,0.37,0.71,3.46,1,0,0,0,0,0,0,3,11,0
5.0,2,0,0,0,0,1,0,0.06,0.0,0,0.0,1.21,0.01,0.45,0.04,0.29,0.42,0.69,1.0,0.56,0.18,1.15,9,0,0,0,0,0,0,3,11,1
3.64,3,0,0,0,0,1,0,0.31,2.5,0,2.5,4.65,0.04,0.15,0.04,0.06,0.1,0.18,0.33,0.37,0.0,0.77,10,0,0,0,0,0,0,3,11,0
2.82,3,0,0,0,1,0,0,0.0,5.0,1,5.0,4.85,0.16,0.13,0.14,0.12,0.19,0.1,1.0,0.37,0.18,1.54,6,0,0,0,0,0,0,3,11,0
2.96,5,0,0,0,0,1,0,0.54,2.5,1,0.0,1.97,2.77,1.26,0.92,0.97,0.72,0.52,3.0,0.93,0.36,4.62,8,0,0,0,0,0,0,3,11,0
3.11,3,0,0,1,0,0,0,0.49,0.0,1,5.0,1.46,0.82,0.48,0.36,0.71,1.27,0.19,0.33,0.74,0.36,3.85,2,0,0,0,0,0,0,3,11,0
3.45,4,0,0,0,0,1,0,0.59,0.0,0,0.0,0.1,2.18,0.93,2.26,0.52,3.17,0.44,0.33,1.11,1.61,5.0,3,0,0,0,0,0,0,3,11,0
4.08,3,0,0,0,1,0,0,0.27,2.5,0,2.5,2.73,0.04,0.15,0.06,0.58,0.02,0.04,0.67,0.37,0.0,1.15,7,0,0,0,0,0,0,3,11,0
4.08,3,1,0,0,0,0,0,0.62,0.0,0,5.0,2.73,1.71,3.02,1.59,3.01,0.76,3.33,0.33,0.74,1.61,2.69,1,1,0,0,1,0,0,3,11,1
4.13,3,0,0,0,0,1,0,0.5,2.5,1,2.5,2.88,1.1,0.23,0.36,0.23,0.46,1.51,2.33,0.74,0.36,3.85,3,0,0,0,0,0,0,3,11,0
3.01,4,0,0,0,0,1,0,0.62,0.0,0,0.0,2.78,3.3,1.28,1.25,3.47,2.28,2.62,0.33,0.56,1.79,5.0,1,0,0,1,0,0,0,3,11,1
3.54,3,1,0,0,0,0,0,0.53,0.0,0,2.5,1.52,0.99,0.88,1.4,2.34,2.28,0.55,0.33,0.93,0.89,3.85,3,0,0,0,0,0,0,3,11,1
4.61,3,0,0,0,1,0,0,0.21,2.5,0,5.0,1.57,0.04,0.0,0.02,0.04,0.02,0.07,0.33,0.19,0.0,1.54,3,0,0,0,0,0,0,3,11,0
4.32,3,0,0,0,1,0,0,0.0,2.5,0,2.5,2.88,0.04,0.08,0.06,0.04,0.04,0.08,0.67,0.37,0.0,1.15,6,0,0,0,0,0,0,3,11,0
3.64,5,0,0,0,0,1,0,0.42,0.0,1,5.0,3.18,1.5,0.0,0.08,0.0,0.0,0.59,1.0,1.48,0.36,2.31,7,0,0,0,0,0,0,3,11,0
4.32,4,0,0,0,1,0,0,0.57,0.0,0,2.5,0.61,2.38,0.65,1.56,1.33,0.25,1.1,0.33,0.56,1.07,4.23,1,0,1,1,0,0,0,3,11,1
3.98,3,0,0,0,0,1,0,0.5,2.5,1,0.0,0.91,1.51,0.45,0.3,0.31,0.34,0.08,1.33,0.74,0.36,4.62,3,0,0,0,0,0,0,3,11,0
2.86,3,0,0,0,1,0,0,0.46,0.0,1,2.5,1.31,1.75,0.18,0.39,0.71,0.27,2.33,1.33,1.48,0.36,3.85,7,0,0,0,0,0,0,3,11,0
2.82,5,0,0,1,0,0,0,0.51,0.0,1,2.5,0.4,1.83,0.0,0.14,0.0,0.11,0.08,0.33,1.3,0.54,3.08,5,0,0,0,0,0,0,3,11,0
2.67,3,0,0,0,0,1,0,0.53,0.0,0,2.5,1.46,1.33,1.01,1.06,2.3,2.32,0.41,0.33,1.3,0.71,1.54,4,0,0,0,0,0,0,3,11,0
3.79,3,0,0,0,0,1,0,0.19,2.5,0,2.5,3.79,0.0,0.08,0.02,0.06,0.11,0.21,0.33,0.19,0.18,0.77,7,0,0,0,0,0,0,3,11,1
3.59,3,0,0,0,0,1,0,0.24,2.5,1,5.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.33,0.19,0.0,0.77,7,0,0,0,0,0,0,3,11,0
4.17,2,0,0,0,1,0,0,0.66,0.0,1,5.0,0.96,2.3,0.35,0.9,3.88,0.46,0.52,0.33,2.04,1.79,3.85,5,1,0,0,1,0,0,3,11,1
3.16,3,0,0,0,0,1,0,0.52,0.0,1,2.5,0.2,0.83,1.23,0.46,0.14,1.56,1.51,0.33,0.93,0.36,3.85,4,0,0,0,0,0,0,3,11,0
3.74,3,0,0,0,0,1,0,0.56,2.5,2,2.5,4.55,2.87,1.48,1.41,1.12,0.55,1.01,2.33,0.37,0.89,1.92,5,0,0,0,0,0,0,3,11,0
2.96,4,0,0,0,0,1,0,0.5,0.0,0,0.0,0.05,1.66,0.9,1.33,3.65,1.14,0.17,1.0,0.74,1.43,2.31,3,0,0,0,0,0,0,3,11,0
3.88,2,0,0,0,0,1,0,0.0,2.5,0,0.0,1.26,0.08,0.08,0.12,0.33,0.08,0.23,1.0,0.56,0.0,1.15,8,0,0,0,0,0,0,3,11,0
3.2,3,0,0,0,0,1,0,0.49,0.0,1,2.5,1.46,0.86,2.69,0.84,1.62,0.7,1.19,1.33,1.85,0.54,5.0,7,0,0,0,0,0,0,3,11,0
3.98,5,0,0,0,0,1,0,0.45,2.5,1,2.5,4.44,1.89,0.15,0.19,0.0,0.11,0.26,1.67,1.67,0.36,3.08,7,0,1,0,0,0,0,3,11,0
2.86,3,0,0,0,0,1,0,0.21,0.0,0,5.0,2.93,0.05,0.25,0.04,0.08,0.29,0.12,0.33,0.37,0.18,1.54,2,0,0,0,0,0,0,3,11,0
4.08,3,1,0,0,0,0,0,0.3,2.5,0,0.0,3.43,0.01,0.03,0.02,0.04,0.02,0.01,0.33,0.19,0.0,0.77,6,0,0,0,0,0,0,3,11,0
3.83,4,0,0,0,0,1,0,0.56,0.0,0,0.0,1.72,2.41,2.79,2.68,1.87,0.34,0.25,0.33,1.3,1.07,1.92,5,0,0,0,0,0,0,3,11,1
4.03,3,0,0,0,1,0,0,0.57,0.0,0,0.0,2.02,3.46,2.64,2.26,2.64,2.0,0.7,0.0,0.93,1.43,3.46,4,1,0,0,0,0,0,3,11,1
4.03,2,0,0,0,0,1,0,0.2,0.0,0,2.5,0.61,0.0,0.0,0.01,0.0,0.06,0.12,0.33,0.0,0.0,1.15,3,0,0,0,0,0,1,3,11,0
3.5,3,0,0,0,0,1,0,0.42,0.0,0,2.5,0.45,1.93,0.0,0.19,0.0,0.0,0.7,0.67,1.85,0.18,3.08,8,1,0,0,0,0,0,3,11,1
4.47,3,0,0,0,1,0,0,0.22,2.5,0,0.0,4.39,0.21,0.1,0.2,0.14,0.1,0.23,1.33,0.56,0.18,1.54,8,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,1,0,0.2,2.5,0,2.5,0.25,0.01,0.03,0.01,0.04,0.0,0.06,0.33,0.19,0.0,0.77,7,0,0,0,0,0,0,3,11,0
3.88,2,0,0,0,0,1,0,0.18,2.5,0,2.5,4.39,0.08,0.13,0.06,0.14,0.0,0.32,1.0,0.56,0.0,1.15,7,0,0,0,0,0,0,3,11,0
3.4,4,0,0,0,0,1,0,0.29,0.0,0,2.5,2.83,0.38,0.43,0.13,0.66,0.42,1.23,0.33,0.37,0.89,1.15,3,0,0,0,0,0,0,3,11,0
4.56,3,1,0,0,0,0,0,0.61,0.0,0,5.0,0.91,0.55,0.58,1.23,0.52,1.24,1.05,0.33,0.56,1.79,5.0,1,0,0,0,0,0,0,3,11,0
3.25,3,0,0,0,0,1,0,0.22,2.5,1,2.5,4.8,0.06,0.2,0.04,0.19,0.08,0.04,0.67,0.19,0.0,1.54,7,0,0,0,0,0,0,3,11,0
3.74,4,0,0,0,0,1,0,0.27,2.5,1,2.5,2.42,0.44,0.0,0.05,0.0,0.0,0.07,1.67,0.56,0.18,1.54,7,0,1,0,0,0,0,3,11,0
3.11,3,0,0,0,1,0,0,0.38,0.0,1,5.0,0.15,0.98,0.15,0.11,0.0,0.06,0.47,1.33,1.11,0.18,2.31,7,0,1,0,1,0,0,3,11,1
3.88,3,0,0,0,0,1,0,0.6,0.0,0,5.0,3.54,1.17,1.51,1.65,2.12,2.53,2.0,0.33,0.93,1.07,2.69,2,0,0,1,0,0,0,3,11,0
